Resolution	Mean	StdDev
32	0.000458	0.000438
64	0.000622	0.000110
128	0.001476	0.000162
256	0.004964	0.000341
512	0.018624	0.000632
1024	0.076117	0.002616
2048	0.322447	0.011115
4096	1.516161	0.043483
8192	5.899615	0.313245
