Resolution	Mean	StdDev
32	0.000481	0.000676
64	0.000618	0.000088
128	0.001561	0.000106
256	0.005427	0.000260
512	0.021188	0.000906
1024	0.088026	0.004695
2048	0.381032	0.020846
4096	2.002847	0.068959
8192	7.545593	0.613425
