Resolution	Mean	StdDev
32	0.000398	0.000484
64	0.000532	0.000086
128	0.001347	0.000085
256	0.004717	0.000208
512	0.018446	0.000754
1024	0.074806	0.002872
2048	0.312757	0.009580
4096	1.499534	0.036867
8192	5.835789	0.315349
