Resolution	Mean	StdDev
32	0.000465	0.000844
64	0.000602	0.000105
128	0.001503	0.000079
256	0.005426	0.000222
512	0.021293	0.000907
1024	0.088018	0.004525
2048	0.379532	0.020389
4096	1.995183	0.067351
8192	7.440805	0.543017
