Resolution	Mean	StdDev
32	0.000481	0.000114
64	0.000813	0.000170
128	0.002076	0.000196
256	0.007025	0.000377
512	0.027176	0.001408
1024	0.109965	0.007636
2048	0.498229	0.036948
4096	2.634205	0.311462
8192	11.067641	1.757897
