Resolution	Mean	StdDev
32	0.000565	0.000743
64	0.000753	0.000138
128	0.001696	0.000193
256	0.005624	0.000286
512	0.021654	0.001361
1024	0.088961	0.004850
2048	0.386847	0.021785
4096	2.020987	0.067221
8192	7.527024	0.590067
