Resolution	Mean	StdDev
32	0.000354	0.000249
64	0.000547	0.000131
128	0.001348	0.000232
256	0.004526	0.000223
512	0.017170	0.000409
1024	0.068045	0.001506
2048	0.282036	0.004726
4096	1.248075	0.032338
8192	5.236976	0.753473
