Resolution	Mean	StdDev
32	0.001069	0.002515
64	0.000944	0.000208
128	0.002354	0.000269
256	0.007657	0.001289
512	0.028032	0.002534
1024	0.113987	0.009079
2048	0.500752	0.038989
4096	2.588247	0.193373
8192	11.224959	1.525653
