Resolution	Mean	StdDev
32	0.000250	0.000131
64	0.000537	0.000096
128	0.001342	0.000129
256	0.004474	0.000204
512	0.016656	0.000301
1024	0.065565	0.000765
2048	0.263181	0.002838
4096	1.078839	0.008340
8192	4.744548	0.130417
