Resolution	Mean	StdDev
32	0.000489	0.000306
64	0.000660	0.000126
128	0.001484	0.000157
256	0.004729	0.000190
512	0.017745	0.000517
1024	0.070209	0.001990
2048	0.290290	0.005425
4096	1.281228	0.023494
8192	5.403973	0.796042
