Resolution	Mean	StdDev
32	0.000395	0.000168
64	0.000575	0.000104
128	0.001360	0.000117
256	0.004528	0.000231
512	0.016963	0.000403
1024	0.066592	0.001204
2048	0.271342	0.003669
4096	1.137054	0.016378
8192	5.065058	0.396213
