Resolution	Mean	StdDev
32	0.000537	0.000138
64	0.000839	0.000141
128	0.002108	0.000130
256	0.007113	0.000456
512	0.027401	0.001582
1024	0.112754	0.008462
2048	0.503967	0.039319
4096	2.671822	0.324977
8192	11.136391	1.606456
