Resolution	Mean	StdDev
32	0.000329	0.000113
64	0.000511	0.000109
128	0.001277	0.000091
256	0.004372	0.000143
512	0.016691	0.000320
1024	0.066306	0.001606
2048	0.274109	0.004057
4096	1.133463	0.018684
8192	4.839812	0.365579
