Resolution	Mean	StdDev
32	0.000516	0.000356
64	0.000666	0.000111
128	0.001501	0.000132
256	0.004943	0.000216
512	0.018681	0.000610
1024	0.076558	0.003856
2048	0.323015	0.012653
4096	1.534539	0.041558
8192	5.968517	0.251231
