Resolution	Mean	StdDev
32	0.000494	0.000209
64	0.000643	0.000123
128	0.001395	0.000111
256	0.004552	0.000192
512	0.016933	0.000360
1024	0.066953	0.000973
2048	0.273381	0.005414
4096	1.153783	0.015330
8192	5.237022	0.369944
