Resolution	Mean	StdDev
32	0.000264	0.000082
64	0.000620	0.000116
128	0.001418	0.000143
256	0.004592	0.000250
512	0.016980	0.000392
1024	0.066811	0.001173
2048	0.269146	0.002511
4096	1.112071	0.009607
8192	4.757576	0.153949
