Resolution	Mean	StdDev
32	0.000432	0.000291
64	0.000599	0.000113
128	0.001391	0.000129
256	0.004625	0.000216
512	0.017369	0.000440
1024	0.068886	0.001719
2048	0.285954	0.005911
4096	1.261569	0.030748
8192	5.259474	0.733584
