Resolution	Mean	StdDev
32	0.000274	0.000104
64	0.000516	0.000119
128	0.001283	0.000114
256	0.004415	0.000171
512	0.016683	0.000291
1024	0.065655	0.000492
2048	0.266649	0.002357
4096	1.099508	0.013475
8192	4.687522	0.180339
