Resolution	Mean	StdDev
32	0.000501	0.000451
64	0.000622	0.000071
128	0.001494	0.000145
256	0.005096	0.001077
512	0.018422	0.000622
1024	0.074699	0.003555
2048	0.318865	0.010805
4096	1.526171	0.049605
8192	5.833672	0.231997
