Resolution	Mean	StdDev
32	0.000465	0.000243
64	0.000606	0.000067
128	0.001409	0.000098
256	0.004614	0.000200
512	0.017324	0.000477
1024	0.068414	0.001458
2048	0.286518	0.006159
4096	1.272477	0.047489
8192	5.374428	0.784025
