Resolution	Mean	StdDev
32	0.000532	0.000050
64	0.000817	0.000114
128	0.002228	0.000274
256	0.007172	0.000375
512	0.027600	0.001322
1024	0.111989	0.008791
2048	0.507911	0.038634
4096	2.687027	0.439754
8192	11.111777	1.475961
