Resolution	Mean	StdDev
32	0.000427	0.000226
64	0.000593	0.000108
128	0.001383	0.000123
256	0.004616	0.000222
512	0.017368	0.000356
1024	0.070089	0.002450
2048	0.289185	0.008482
4096	1.260418	0.033537
8192	5.167162	0.473820
