Resolution	Mean	StdDev
32	0.000238	0.000023
64	0.000559	0.000074
128	0.001352	0.000103
256	0.004428	0.000151
512	0.016552	0.000256
1024	0.065380	0.000910
2048	0.261906	0.002526
4096	1.074995	0.005684
8192	4.778613	0.099450
