Resolution	Mean	StdDev
32	0.000493	0.000707
64	0.000634	0.000098
128	0.001613	0.000145
256	0.005565	0.000314
512	0.021588	0.001373
1024	0.088642	0.004846
2048	0.386736	0.024017
4096	2.011899	0.064139
8192	7.567868	0.556015
