Resolution	Mean	StdDev
32	0.000414	0.000070
64	0.000595	0.000086
128	0.001378	0.000090
256	0.004509	0.000165
512	0.017151	0.000989
1024	0.066872	0.000989
2048	0.272499	0.003377
4096	1.153837	0.012938
8192	5.367781	0.268561
