Resolution	Mean	StdDev
32	0.000487	0.000805
64	0.000562	0.000055
128	0.001514	0.000092
256	0.005590	0.000692
512	0.021352	0.000915
1024	0.086845	0.004443
2048	0.379787	0.020394
4096	1.989720	0.065837
8192	7.449653	0.575757
