Resolution	Mean	StdDev
32	0.000341	0.000074
64	0.000538	0.000207
128	0.001299	0.000111
256	0.004431	0.000141
512	0.016960	0.000393
1024	0.067026	0.001170
2048	0.277562	0.001521
4096	1.238413	0.031762
8192	5.594862	0.700890
