Resolution	Mean	StdDev
32	0.000549	0.000666
64	0.000685	0.000097
128	0.001635	0.000088
256	0.005500	0.000206
512	0.021411	0.000825
1024	0.089353	0.005282
2048	0.384571	0.021028
4096	2.013093	0.072220
8192	7.556465	0.627331
