Resolution	Mean	StdDev
32	0.000400	0.000174
64	0.000574	0.000111
128	0.001365	0.000130
256	0.004528	0.000205
512	0.016988	0.000373
1024	0.066533	0.001224
2048	0.271475	0.004247
4096	1.136813	0.016356
8192	4.977361	0.357299
