Resolution	Mean	StdDev
32	0.000266	0.000116
64	0.000554	0.000096
128	0.001329	0.000097
256	0.004464	0.000204
512	0.016674	0.000340
1024	0.065351	0.000959
2048	0.265138	0.002633
4096	1.101941	0.012799
8192	4.681618	0.159223
