Resolution	Mean	StdDev
32	0.000411	0.000306
64	0.000616	0.000300
128	0.001637	0.000575
256	0.005587	0.001703
512	0.019759	0.001296
1024	0.078396	0.003114
2048	0.316205	0.007591
4096	1.286541	0.022149
8192	5.111144	0.403024
