Resolution	Mean	StdDev
32	0.000253	0.000033
64	0.000497	0.000099
128	0.001273	0.000096
256	0.004384	0.000145
512	0.016538	0.000290
1024	0.064942	0.000598
2048	0.263539	0.003580
4096	1.092587	0.010822
8192	4.699055	0.168840
