Resolution	Mean	StdDev
32	0.000462	0.000402
64	0.000567	0.000052
128	0.001439	0.000138
256	0.004802	0.000222
512	0.018524	0.000637
1024	0.075463	0.003839
2048	0.319051	0.010143
4096	1.516352	0.036000
8192	5.868613	0.284207
