Resolution	Mean	StdDev
32	0.001085	0.002420
64	0.000915	0.000160
128	0.002382	0.000336
256	0.007459	0.001109
512	0.028194	0.002509
1024	0.114631	0.009900
2048	0.500485	0.041134
4096	2.590861	0.193755
8192	11.290322	1.510769
