Resolution	Mean	StdDev
32	0.000397	0.000423
64	0.000528	0.000080
128	0.001350	0.000078
256	0.004726	0.000185
512	0.018260	0.000576
1024	0.073668	0.002555
2048	0.314110	0.011250
4096	1.493587	0.048917
8192	5.837687	0.452714
