Resolution	Mean	StdDev
32	0.000481	0.000112
64	0.000780	0.000112
128	0.002037	0.000153
256	0.007144	0.000468
512	0.028186	0.001668
1024	0.115411	0.009676
2048	0.505767	0.039203
4096	2.658050	0.430154
8192	10.685884	1.525644
