Resolution	Mean	StdDev
32	0.001093	0.001929
64	0.000874	0.000239
128	0.001572	0.000485
256	0.004670	0.000633
512	0.017128	0.000653
1024	0.067572	0.002667
2048	0.267133	0.007174
4096	1.070068	0.028947
8192	4.345868	0.059374
