Resolution	Mean	StdDev
32	0.020830	0.000000
64	0.005818	0.000000
128	0.010293	0.000000
256	0.047244	0.000000
512	0.107615	0.000000
1024	0.227325	0.000000
2048	0.805029	0.000000
4096	3.178902	0.000000
8192	12.621146	0.000000
